# gene	views	view_rank
GCH1	12	1452
NPHS2	12	1453
SLC15A1	12	1454
PEBP1	12	1455
CD79B	12	1456
TNFSF9	12	1457
MVK	12	1458
COL17A1	12	1459
PRF1	12	1460
SAMHD1	12	1461
UTRN	12	1462
NID1	12	1463
TRPV2	12	1464
PER3	12	1465
KRT7	12	1466
PER1	12	1467
CD3D	12	1468
CHRM5	12	1469
HBA1	12	1470
ESRRA	12	1471
CHRNA7	12	1472
DPT	12	1473
UBA1	12	1474
CCKAR	12	1475
CXADR	12	1476
CRHR2	12	1477
ADRA2C	12	1478
CALCR	12	1479
APOA4	12	1480
GPRC5D	12	1481
DNMT3A	12	1482
BMPR2	12	1483
FANCA	12	1484
APOC1	12	1485
RCAN1	12	1486
NR1I3	12	1487
H3-3A	12	1488
HCK	12	1489
DSG1	12	1490
ERN1	12	1491
CTTN	12	1492
MEF2C	12	1493
FLNC	12	1494
MAG	12	1495
ATP6	12	1496
TGFB2	12	1497
SCGB1A1	12	1498
IL15RA	12	1499
IRF1	12	1500
TGFBI	12	1501
IRAK1	12	1502
ANGPT2	12	1503
TCF4	12	1504
ZP3	12	1505
MAP3K14	12	1506
LUM	12	1507
FOXA1	12	1508
HMGA1	12	1509
ABCB11	12	1510
PTGDS	12	1511
LAIR1	12	1512
NONO	12	1513
SOX3	12	1514
LZTR1	12	1515
SPI1	12	1516
MYOC	12	1517
SCTR	12	1518
DDR2	12	1519
NUTF2	12	1520
PLCG2	12	1521
PDE4B	12	1522
ARC	12	1523
POLE	12	1524
SPOP	12	1525
SIM1	12	1526
SLC6A1	12	1527
NNT	12	1528
WFDC2	12	1529
SPINK5	12	1530
TNFRSF10B	12	1531
SREBF2	12	1532
TRIM21	12	1533
STAR	12	1534
TCF7	12	1535
SLC45A2	12	1536
GGH	12	1537
SALL4	12	1538
IL21R	12	1539
ARID1B	12	1540
ALOXE3	12	1541
RN7SK	12	1542
CLEC9A	12	1543
HOTAIR	12	1544
HMGA2	12	1545
PIK3R1	12	1546
LYN	11	1547
F2R	11	1548
MYH9	11	1549
UCN	11	1550
KISS1R	11	1551
OSM	11	1552
GPHN	11	1553
PKD2	11	1554
ITGAV	11	1555
EMD	11	1556
BST2	11	1557
CCR3	11	1558
HBA2	11	1559
ERCC2	11	1560
HPSE	11	1561
MUSK	11	1562
CD207	11	1563
ITGB3	11	1564
PTGDR	11	1565
GMPS	11	1566
IDH2	11	1567
IDUA	11	1568
CD84	11	1569
LIN28A	11	1570
FCGR2B	11	1571
BIRC2	11	1572
TMPO	11	1573
ROCK1	11	1574
SEMA4D	11	1575
NCR1	11	1576
CXCR6	11	1577
C2	11	1578
NSF	11	1579
UMPS	11	1580
HSPE1	11	1581
PRPH	11	1582
FOXP1	11	1583
UCHL1	11	1584
CBR1	11	1585
AKR1C4	11	1586
HSPB1	11	1587
SERPINB2	11	1588
ADRA2B	11	1589
STMN1	11	1590
CSN2	11	1591
CRYAB	11	1592
AAVS1	11	1593
CDH1	11	1594
GP6	11	1595
ARG2	11	1596
APOBEC1	11	1597
ALAS2	11	1598
BIN1	11	1599
SMAD7	11	1600
DIO2	11	1601
GAD1	11	1602
BACH1	11	1603
BNIP3	11	1604
C1QA	11	1605
FABP5	11	1606
MBNL1	11	1607
TRNL1	11	1608
ECM1	11	1609
OPN1MW	11	1610
PRLR	11	1611
ERCC1	11	1612
AMPH	11	1613
PROX1	11	1614
IL1RAP	11	1615
GPR35	11	1616
FSHB	11	1617
CA1	11	1618
PALLD	11	1619
INHBA	11	1620
TEK	11	1621
IL2RB	11	1622
IL7R	11	1623
TIMP2	11	1624
RAD52	11	1625
OPN1LW	11	1626
ACAT1	11	1627
ABCC4	11	1628
RGR	11	1629
ND1	11	1630
MSH6	11	1631
PTPRD	11	1632
RBP4	11	1633
XCR1	11	1634
IRF5	11	1635
POU1F1	11	1636
LTB	11	1637
TPP1	11	1638
CTSL	11	1639
DNMT3B	11	1640
MYF5	11	1641
COX3	11	1642
TRAF3	11	1643
MUC5AC	11	1644
MYH6	11	1645
CER1	11	1646
RP1	11	1647
SFRP1	11	1648
PFKFB3	11	1649
PIGA	11	1650
KMT2D	11	1651
LGI1	11	1652
MAPKAPK2	11	1653
S100A10	11	1654
SNAI2	11	1655
SDC4	11	1656
SLC22A2	11	1657
POLD1	11	1658
PDE4D	11	1659
SLC4A4	11	1660
CASK	11	1661
SATB2	11	1662
SLC1A2	11	1663
PDGFB	11	1664
PDK4	11	1665
CLIP2	11	1666
PPIB	11	1667
SLC18A3	11	1668
SLC10A1	11	1669
PRKAR1A	11	1670
PRKCE	11	1671
SLC22A6	11	1672
NUMB	11	1673
XPA	11	1674
NPY4R	11	1675
TNFRSF14	11	1676
TCF21	11	1677
ABHD5	11	1678
RTN4	11	1679
MGAM	11	1680
TIGAR	11	1681
SIN3A	11	1682
ANKRD1	11	1683
MEG3	11	1684
RXFP1	11	1685
ERAP2	11	1686
INF2	11	1687
SOX17	11	1688
LRRC15	11	1689
H19	11	1690
NEAT1	11	1691
SRGAP2C	11	1692
NNMT	11	1693
ND2	11	1694
F7	10	1695
JUP	10	1696
NLK	10	1697
TLR2	10	1698
ASPM	10	1699
SPR	10	1700
DHCR7	10	1701
GRIA1	10	1702
NGB	10	1703
PYGM	10	1704
HNF1B	10	1705
ASIP	10	1706
MCM6	10	1707
GLYCAM1	10	1708
FADS2	10	1709
NRTN	10	1710
SH2D1A	10	1711
KYNU	10	1712
PROZ	10	1713
FGF5	10	1714
TBXAS1	10	1715
MUC1	10	1716
PLB1	10	1717
RUNX3	10	1718
CASP10	10	1719
ARX	10	1720
CACNA2D1	10	1721
CNP	10	1722
MAPK3	10	1723
CD3E	10	1724
CCND2	10	1725
C3AR1	10	1726
CTNS	10	1727
ANG	10	1728
ACVR2B	10	1729
CTSS	10	1730
NTRK3	10	1731
XRCC6	10	1732
OPN1SW	10	1733
FGF4	10	1734
FCER1A	10	1735
GSPT1	10	1736
EPOR	10	1737
DUSP6	10	1738
ELK1	10	1739
HCRTR1	10	1740
ETS2	10	1741
AKT2	10	1742
ADIPOR2	10	1743
FLI1	10	1744
PTGER2	10	1745
ICAM2	10	1746
GPR17	10	1747
ATXN3	10	1748
MGAT1	10	1749
UGT2B7	10	1750
TFAP2A	10	1751
TERC	10	1752
IVL	10	1753
MRE11	10	1754
RAD51C	10	1755
ARTN	10	1756
MTNR1B	10	1757
ND3	10	1758
PTGFR	10	1759
IGF2R	10	1760
PTH1R	10	1761
CD164	10	1762
LMO2	10	1763
FGF7	10	1764
HOXA1	10	1765
ABCB4	10	1766
NR0B2	10	1767
CYTB	10	1768
NIPBL	10	1769
LGALS9	10	1770
KCNQ2	10	1771
NOS2	10	1772
SOD3	10	1773
SON	10	1774
KCNA4	10	1775
NOD1	10	1776
TNPO1	10	1777
SETX	10	1778
KNG1	10	1779
OTX2	10	1780
PGK1	10	1781
LIMK1	10	1782
CSF2RA	10	1783
MYL2	10	1784
NFIB	10	1785
UBB	10	1786
PROCR	10	1787
PASK	10	1788
PRDX1	10	1789
NRXN1	10	1790
MAFB	10	1791
ADAMTS4	10	1792
UHRF1	10	1793
SOCS1	10	1794
PRND	10	1795
SOX21	10	1796
XPO1	10	1797
OGA	10	1798
OPTN	10	1799
TNFSF12	10	1800
TRA	10	1801
TNFRSF10A	10	1802
SSTR3	10	1803
TBX1	10	1804
VAMP2	10	1805
DHX58	10	1806
MPC2	10	1807
ALDH1A2	10	1808
PBRM1	10	1809
RPTOR	10	1810
CROT	10	1811
MMACHC	10	1812
BNC2	10	1813
CLPB	10	1814
PRDM16	10	1815
GABRQ	10	1816
COX4I2	10	1817
REG3G	10	1818
RSAD2	10	1819
DCLRE1C	10	1820
RHCG	10	1821
IRX3	10	1822
TPH2	10	1823
RXFP2	10	1824
PIKFYVE	10	1825
OPN5	10	1826
IL27	10	1827
REST	10	1828
COL1A2	9	1829
SMURF1	9	1830
CCL25	9	1831
CD82	9	1832
CD6	9	1833
TAT	9	1834
CORIN	9	1835
FUT4	9	1836
MRRF	9	1837
TAS1R1	9	1838
TFR2	9	1839
GRIA2	9	1840
ITGA2	9	1841
TNFRSF13C	9	1842
PPOX	9	1843
PTX3	9	1844
ACKR3	9	1845
FCGR2A	9	1846
ADGRE5	9	1847
PTAFR	9	1848
TRPM3	9	1849
KCNQ1	9	1850
ESRRG	9	1851
RCC1	9	1852
CMKLR1	9	1853
CHRNA4	9	1854
CSTB	9	1855
CCNE1	9	1856
C1S	9	1857
TAFAZZIN	9	1858
SLC24A5	9	1859
COX8A	9	1860
COX4I1	9	1861
FGF3	9	1862
PCSK2	9	1863
FOXL2	9	1864
ALCAM	9	1865
SMAD2	9	1866
SMAD1	9	1867
PTK2B	9	1868
GRIN2A	9	1869
MS4A2	9	1870
GPR183	9	1871
SLC29A1	9	1872
EMX1	9	1873
C4A	9	1874
H2AZ1	9	1875
GZMB	9	1876
HELLS	9	1877
ITGB4	9	1878
EWSR1	9	1879
IYD	9	1880
PSEN2	9	1881
PRSS1	9	1882
ID1	9	1883
IGFBP2	9	1884
IGL	9	1885
FOXO4	9	1886
MMP12	9	1887
GRK2	9	1888
SETBP1	9	1889
BDKRB1	9	1890
LBP	9	1891
ALOX12	9	1892
THRB	9	1893
INHA	9	1894
NBN	9	1895
PDP1	9	1896
SLC22A5	9	1897
CPE	9	1898
MST1	9	1899
RHCE	9	1900
SCAP	9	1901
NCL	9	1902
ITGB8	9	1903
PTPN2	9	1904
CLDN1	9	1905
SLC25A14	9	1906
HLA-DQA1	9	1907
NR4A3	9	1908
TOP2B	9	1909
TPM2	9	1910
LAMA5	9	1911
CIITA	9	1912
SLC11A2	9	1913
LAG3	9	1914
TSG101	9	1915
LGALS7	9	1916
GRB10	9	1917
LIFR	9	1918
SRSF2	9	1919
RNASE1	9	1920
MKKS	9	1921
KCNA2	9	1922
MTRF1	9	1923
PITX2	9	1924
AIFM1	9	1925
SSPN	9	1926
S100A12	9	1927
ZBTB16	9	1928
USP9X	9	1929
GCAT	9	1930
P2RY1	9	1931
PAX2	9	1932
PMP22	9	1933
PCM1	9	1934
PDC	9	1935
PCNT	9	1936
SUB1	9	1937
HOXB13	9	1938
RIPK3	9	1939
PLA2G6	9	1940
SKP2	9	1941
SLAMF1	9	1942
GPR52	9	1943
BAG3	9	1944
SPON1	9	1945
SLC9A1	9	1946
CD96	9	1947
ATG7	9	1948
PRKCQ	9	1949
TACR2	9	1950
PPP1R15A	9	1951
GALR2	9	1952
ZFY	9	1953
XRCC4	9	1954
SRGN	9	1955
CLDN16	9	1956
CNBP	9	1957
ABCC8	9	1958
MALT1	9	1959
PRDM9	9	1960
U2AF2	9	1961
IFITM1	9	1962
IKZF3	9	1963
DLL4	9	1964
NOX4	9	1965
KLF15	9	1966
SETD2	9	1967
ZZZ3	9	1968
RXFP3	9	1969
IL34	9	1970
ORMDL3	9	1971
KMO	9	1972
B3GALNT2	9	1973
SLAMF6	9	1974
TMC1	9	1975
GPRC6A	9	1976
MIA3	9	1977
LILRB2	9	1978
CTSE	9	1979
APRT	8	1980
SLC25A1	8	1981
CD53	8	1982
TIA1	8	1983
HSPA1A	8	1984
LIPA	8	1985
C9	8	1986
CYP24A1	8	1987
CXCL3	8	1988
CORT	8	1989
ARSB	8	1990
GALC	8	1991
PFKL	8	1992
LMNA	8	1993
STOM	8	1994
ENAM	8	1995
ANLN	8	1996
DEFB4B	8	1997
ITGA2B	8	1998
PLEC	8	1999
VEGFD	8	2000
CSNK1E	8	2001
CALCRL	8	2002
KLRD1	8	2003
SP100	8	2004
STIP1	8	2005
APLNR	8	2006
GALM	8	2007
SUMO1	8	2008
KRT15	8	2009
XDH	8	2010
KRT1	8	2011
KRT10	8	2012
KRT20	8	2013
CKM	8	2014
CHD2	8	2015
CHRNA1	8	2016
CHML	8	2017
MCM2	8	2018
TCOF1	8	2019
CTAG1B	8	2020
ADRA1D	8	2021
CNN2	8	2022
CDC6	8	2023
NAT2	8	2024
CDKN1C	8	2025
ACOX1	8	2026
ACACA	8	2027
ATXN1	8	2028
KCNE1	8	2029
XK	8	2030
ALDOC	8	2031
CYB5R3	8	2032
DDB2	8	2033
NQO1	8	2034
CYLD	8	2035
GABRA4	8	2036
GBP2	8	2037
FHL2	8	2038
FANCD2	8	2039
FKBP1A	8	2040
FABP3	8	2041
FAT1	8	2042
ACSL1	8	2043
CRAT	8	2044
DUT	8	2045
LAMP3	8	2046
KLF5	8	2047
IFNL1	8	2048
MEIS1	8	2049
EPX	8	2050
SERPINA3	8	2051
RALA	8	2052
PTPRM	8	2053
IGSF1	8	2054
RARB	8	2055
ID2	8	2056
MMP1	8	2057
MMP14	8	2058
MAGEA4	8	2059
GPR37	8	2060
LY75	8	2061
ATG16L1	8	2062
ADORA3	8	2063
INSM1	8	2064
MNDA	8	2065
OGG1	8	2066
CHM	8	2067
ATP8	8	2068
NAIP	8	2069
NCK1	8	2070
GHRHR	8	2071
LCP2	8	2072
PRC1	8	2073
CHD7	8	2074
TRAF1	8	2075
HSP90B1	8	2076
HAL	8	2077
MYO7A	8	2078
RRM2	8	2079
EREG	8	2080
NOS1	8	2081
CLPP	8	2082
PFN1	8	2083
PI4KB	8	2084
SIGLEC1	8	2085
KCNN4	8	2086
RGN	8	2087
NFKB2	8	2088
NFATC1	8	2089
NFE2L1	8	2090
NEUROD1	8	2091
SAA1	8	2092
SLPI	8	2093
NPR2	8	2094
PAX9	8	2095
VEGFB	8	2096
TSIX	8	2097
ACAA2	8	2098
CMAHP	8	2099
ADGRL3	8	2100
SGK1	8	2101
USP1	8	2102
PDHA1	8	2103
MVP	8	2104
SCFD1	8	2105
POLRMT	8	2106
HYOU1	8	2107
PPP2R1A	8	2108
RAPGEF4	8	2109
PRKCI	8	2110
NR1H3	8	2111
TNFRSF25	8	2112
SCO2	8	2113
KCNQ1OT1	8	2114
LONP1	8	2115
STAT5A	8	2116
TACR3	8	2117
NRP2	8	2118
SPO11	8	2119
YWHAZ	8	2120
RAD50	8	2121
DEPTOR	8	2122
SSTR1	8	2123
SSTR4	8	2124
CIT	8	2125
TBX15	8	2126
SYT1	8	2127
GJB6	8	2128
ING4	8	2129
SLC17A7	8	2130
HDAC3	8	2131
SOCS2	8	2132
CCN4	8	2133
SIRT2	8	2134
IL19	8	2135
BRCC3	8	2136
SIRT7	8	2137
BCL10	8	2138
SOX18	8	2139
TMEM106B	8	2140
AAK1	8	2141
PABPC1	8	2142
B3GAT1	8	2143
CNTNAP2	8	2144
AUTS2	8	2145
DUOX1	8	2146
GPR84	8	2147
CEP290	8	2148
ZFHX2	8	2149
LINGO1	8	2150
MYH16	8	2151
SSH2	8	2152
ADGRV1	8	2153
PPARGC1B	8	2154
KLF14	8	2155
FLCN	8	2156
MRGPRX2	8	2157
OXER1	8	2158
RICTOR	8	2159
SLC29A4	8	2160
EIF2AK4	8	2161
NCF1	8	2162
IFNL4	8	2163
RGS4	8	2164
DST	8	2165
DUX4	8	2166
EPHA2	8	2167
COIL	8	2168
EPHB4	8	2169
SGSH	8	2170
DAGLA	7	2171
CCL1	7	2172
KCNQ4	7	2173
CASP4	7	2174
COL10A1	7	2175
EHHADH	7	2176
CXCR1	7	2177
DHH	7	2178
BRD9	7	2179
HBG1	7	2180
HDAC4	7	2181
OAS1	7	2182
CTSA	7	2183
CD1D	7	2184
CLCN5	7	2185
CCL24	7	2186
SOX1	7	2187
METTL3	7	2188
ITGA3	7	2189
FBXO15	7	2190
PKHD1	7	2191
SDHD	7	2192
MT-RNR2	7	2193
TLR3	7	2194
CASP6	7	2195
PER2	7	2196
CAMK2B	7	2197
KRT18	7	2198
MAP4K1	7	2199
CBFB	7	2200
TEAD2	7	2201
DCTD	7	2202
NCAN	7	2203
RXRA	7	2204
CCR8	7	2205
CIDEA	7	2206
CLK1	7	2207
CCNA2	7	2208
CCND3	7	2209
CSNK2B	7	2210
ADH1A	7	2211
CTBP2	7	2212
PIK3CD	7	2213
GLI2	7	2214
CRK	7	2215
TRPV6	7	2216
ACO2	7	2217
CYP27A1	7	2218
EIF2S1	7	2219
SCN4A	7	2220
FOXC2	7	2221
EIF4B	7	2222
ATF1	7	2223
ASGR1	7	2224
ARF1	7	2225
FPR3	7	2226
SMAD6	7	2227
GADD45A	7	2228
DDB1	7	2229
DPP6	7	2230
DLST	7	2231
BPTF	7	2232
FGF10	7	2233
MC5R	7	2234
MATK	7	2235
ACVR1C	7	2236
GBX2	7	2237
DSCAM	7	2238
ACVR1B	7	2239
HAS2	7	2240
HDAC2	7	2241
DNM1	7	2242
SFN	7	2243
AHCY	7	2244
LYST	7	2245
FLT4	7	2246
FOXJ1	7	2247
MAPK7	7	2248
IFNGR2	7	2249
HTR5A	7	2250
RAG2	7	2251
IRF8	7	2252
AFF1	7	2253
SLC30A8	7	2254
IDH3A	7	2255
IFI16	7	2256
MLNR	7	2257
PRMT1	7	2258
AMELY	7	2259
AZU1	7	2260
AHSG	7	2261
ADORA2B	7	2262
IL25	7	2263
ADGRB2	7	2264
INSIG1	7	2265
INSL3	7	2266
IL10RA	7	2267
TFE3	7	2268
TFF1	7	2269
RAD21	7	2270
RDX	7	2271
LTC4S	7	2272
MSX2	7	2273
RHAG	7	2274
TOP2A	7	2275
RPS6KA1	7	2276
HLA-DRB4	7	2277
ETF1	7	2278
TGFBR3	7	2279
HOXA13	7	2280
EPB42	7	2281
PTK7	7	2282
LRP4	7	2283
CTSZ	7	2284
TAAR5	7	2285
HMGCS2	7	2286
XCL1	7	2287
FTL	7	2288
NR4A2	7	2289
TPBG	7	2290
XRN2	7	2291
SRR	7	2292
NPPC	7	2293
BRD2	7	2294
SPTB	7	2295
SPTAN1	7	2296
SOX4	7	2297
PEPD	7	2298
PIK3CG	7	2299
ODC1	7	2300
CLDN11	7	2301
FXR1	7	2302
SLC16A7	7	2303
MAP4K4	7	2304
CYP7B1	7	2305
HAND1	7	2306
CRIPT	7	2307
NFIX	7	2308
MYLK	7	2309
MDC1	7	2310
DOCK4	7	2311
NPY2R	7	2312
P4HB	7	2313
PLS3	7	2314
CYFIP1	7	2315
PBX1	7	2316
COBL	7	2317
PNN	7	2318
VDAC1	7	2319
CLEC10A	7	2320
SLC4A2	7	2321
UTY	7	2322
SLC3A2	7	2323
USF1	7	2324
STIL	7	2325
PIWIL1	7	2326
SUZ12	7	2327
MED1	7	2328
BEST1	7	2329
NSD2	7	2330
WNT3	7	2331
LARP1	7	2332
SLC16A2	7	2333
MAFF	7	2334
USP7	7	2335
CORO1A	7	2336
SLC9A3R1	7	2337
PDCD6IP	7	2338
STAT5B	7	2339
RAB35	7	2340
LILRB4	7	2341
CCNK	7	2342
CDCP1	7	2343
CA14	7	2344
CES2	7	2345
XRCC3	7	2346
RRH	7	2347
PPT1	7	2348
LHX3	7	2349
CD2AP	7	2350
TCF12	7	2351
ELOB	7	2352
SUV39H1	7	2353
SEPTIN9	7	2354
WNK1	7	2355
AHNAK	7	2356
GADD45G	7	2357
FUNDC2	7	2358
RGMA	7	2359
CUL4B	7	2360
PARG	7	2361
UBQLN1	7	2362
SETD5	7	2363
AGK	7	2364
GNMT	7	2365
SIGLEC8	7	2366
SIGLEC9	7	2367
SESN1	7	2368
HCAR1	7	2369
IL37	7	2370
RBFOX1	7	2371
TOLLIP	7	2372
ABHD6	7	2373
FOXD3	7	2374
AGMAT	7	2375
RNF43	7	2376
EMCN	7	2377
IL17RB	7	2378
OR51E2	7	2379
CLEC1B	7	2380
CHD8	7	2381
RNF114	7	2382
KMT2C	7	2383
DGAT2	7	2384
TRIM63	7	2385
ARID5B	7	2386
SLITRK6	7	2387
ADAM33	7	2388
RELT	7	2389
MLKL	7	2390
FOXP4	7	2391
TWIST2	7	2392
ANKK1	7	2393
DOT1L	7	2394
PDGFC	7	2395
HOPX	7	2396
LRG1	7	2397
AMOT	7	2398
ARL13B	7	2399
SLITRK1	7	2400
GPIHBP1	7	2401
CLEC12A	7	2402
MIR21	7	2403
NPSR1	7	2404
GFY	7	2405
LAT	7	2406
MAPK8	7	2407
AAA1	7	2408
COL2A1	6	2409
PHB	6	2410
GRM8	6	2411
ESPL1	6	2412
SLIT1	6	2413
MMP10	6	2414
BLM	6	2415
ADSL	6	2416
TAS1R3	6	2417
CGA	6	2418
LSS	6	2419
MTHFD1	6	2420
NMB	6	2421
BPI	6	2422
PSG1	6	2423
USH1C	6	2424
DHPS	6	2425
PI3	6	2426
FANCM	6	2427
NSD1	6	2428
SLC25A3	6	2429
TKTL1	6	2430
MBTPS1	6	2431
DGAT1	6	2432
COL4A3	6	2433
DLX5	6	2434
CSN1S1	6	2435
XRN1	6	2436
SCP2	6	2437
NCR3	6	2438
PGM2	6	2439
VASP	6	2440
LRAT	6	2441
HK1	6	2442
CSF2RB	6	2443
CPB2	6	2444
CCL26	6	2445
WT1	6	2446
COL7A1	6	2447
NEUROG3	6	2448
CCL23	6	2449
ITGA5	6	2450
CALB1	6	2451
TRPM5	6	2452
TRPC4	6	2453
TRPS1	6	2454
CAMK2A	6	2455
RUNX1T1	6	2456
TRPM7	6	2457
STIM1	6	2458
ACADVL	6	2459
ESRRB	6	2460
DEFB1	6	2461
CLCN7	6	2462
C7	6	2463
MASP2	6	2464
NKX2-5	6	2465
GLUD1	6	2466
CSTA	6	2467
ACVR2A	6	2468
GLI3	6	2469
ROR2	6	2470
CRIP1	6	2471
SLC31A1	6	2472
CLDN3	6	2473
CDC25A	6	2474
SCARB2	6	2475
ACAA1	6	2476
CDH11	6	2477
HSD11B2	6	2478
CFL1	6	2479
RHOC	6	2480
VLDLR	6	2481
ALPI	6	2482
SMAD9	6	2483
ATP5F1A	6	2484
DDX6	6	2485
FUT3	6	2486
GABBR1	6	2487
GALR1	6	2488
GBP1	6	2489
DKC1	6	2490
DDX5	6	2491
BCYRN1	6	2492
COCH	6	2493
BCKDHA	6	2494
EFEMP1	6	2495
FGG	6	2496
MATN1	6	2497
CPM	6	2498
EN1	6	2499
BMPR1A	6	2500
E2F4	6	2501
HCFC1	6	2502
GLRB	6	2503
GPR6	6	2504
GPR4	6	2505
AKAP13	6	2506
ERCC6	6	2507
EXT1	6	2508
ERCC4	6	2509
EXT2	6	2510
GOT2	6	2511
FOLR2	6	2512
MCF2	6	2513
MAP2K2	6	2514
MAPK4	6	2515
RBPJ	6	2516
IFNB1	6	2517
ID3	6	2518
HTR1E	6	2519
GPR18	6	2520
GRID2	6	2521
NBR1	6	2522
IFNA1	6	2523
IFI27	6	2524
HPGD	6	2525
PSME1	6	2526
FKBP4	6	2527
MANBA	6	2528
RPS6	6	2529
HHEX	6	2530
HINT1	6	2531
CDK7	6	2532
MNX1	6	2533
SORL1	6	2534
PRDX2	6	2535
TCHH	6	2536
TEAD4	6	2537
TFF3	6	2538
RBM3	6	2539
MNAT1	6	2540
PZP	6	2541
MPG	6	2542
RFC1	6	2543
TNNI3	6	2544
CHL1	6	2545
RAMP3	6	2546
MTNR1A	6	2547
GLP2R	6	2548
HLA-DRB5	6	2549
BRS3	6	2550
LORICRIN	6	2551
SFTPB	6	2552
LOXL2	6	2553
HOXA9	6	2554
PEMT	6	2555
PTGFRN	6	2556
LMAN1	6	2557
FGF9	6	2558
KAT2B	6	2559
LOXL1	6	2560
DAXX	6	2561
LTK	6	2562
BCKDK	6	2563
LY9	6	2564
PGLYRP1	6	2565
LY6E	6	2566
CSK	6	2567
HNRNPC	6	2568
VPS13B	6	2569
EDA	6	2570
WARS1	6	2571
MR1	6	2572
CAPZA1	6	2573
HNRNPK	6	2574
HESX1	6	2575
MUC6	6	2576
TPT1-AS1	6	2577
NR2C1	6	2578
MUC4	6	2579
CRTAP	6	2580
LGALS3BP	6	2581
MCOLN1	6	2582
TSHB	6	2583
SLC3A1	6	2584
OSMR	6	2585
B3GNT3	6	2586
SMC5	6	2587
KDM6B	6	2588
NPR1	6	2589
ROBO1	6	2590
UAP1	6	2591
MIA	6	2592
ROCK2	6	2593
S100A11	6	2594
PEX1	6	2595
KCNA3	6	2596
NDRG1	6	2597
KCNB1	6	2598
CREB5	6	2599
PITX1	6	2600
PEG10	6	2601
OPHN1	6	2602
ADAM12	6	2603
FOSL1	6	2604
SNRNP70	6	2605
CRLF1	6	2606
H6PD	6	2607
PTGES	6	2608
SCNN1A	6	2609
TRPC6	6	2610
SLN	6	2611
NFYA	6	2612
NFIA	6	2613
NFIL3	6	2614
PTTG1	6	2615
BTC	6	2616
SCN1B	6	2617
NTSR1	6	2618
TOX	6	2619
ALYREF	6	2620
EIF1	6	2621
KDM5D	6	2622
KDM5C	6	2623
TYROBP	6	2624
TRRAP	6	2625
PLD2	6	2626
PLD1	6	2627
LPIN1	6	2628
PLCB2	6	2629
PCSK6	6	2630
PLS1	6	2631
PAX1	6	2632
RCOR1	6	2633
PCK1	6	2634
PCDH7	6	2635
EHMT2	6	2636
IGF2BP2	6	2637
PRRX1	6	2638
CAMKK2	6	2639
IRS2	6	2640
RBFOX2	6	2641
RBX1	6	2642
OS9	6	2643
BBOX1	6	2644
CIB1	6	2645
SMG6	6	2646
UCK2	6	2647
SLC1A5	6	2648
NR1H2	6	2649
SRRM2	6	2650
ANP32D	6	2651
PDHA2	6	2652
ADGRG1	6	2653
POU4F1	6	2654
KLF1	6	2655
SRGAP2	6	2656
PPP3CA	6	2657
PPP2CA	6	2658
SLC18A1	6	2659
CALCOCO2	6	2660
PLAC1	6	2661
STMN2	6	2662
OGFR	6	2663
CD160	6	2664
GLMN	6	2665
SH2B3	6	2666
METAP2	6	2667
GPR65	6	2668
LILRB3	6	2669
SLC30A3	6	2670
LDLRAP1	6	2671
TBX5	6	2672
PLD3	6	2673
XPC	6	2674
SNAP23	6	2675
LRPPRC	6	2676
ACD	6	2677
TINF2	6	2678
NTSR2	6	2679
G3BP1	6	2680
WDR5	6	2681
PANX1	6	2682
SULT1A1	6	2683
SULT2A1	6	2684
RLIM	6	2685
SBDS	6	2686
NRN1	6	2687
MFF	6	2688
USP18	6	2689
WWTR1	6	2690
MBOAT7	6	2691
FA2H	6	2692
SHANK2	6	2693
PSAT1	6	2694
BTRC	6	2695
GABARAP	6	2696
MBD2	6	2697
VSIG4	6	2698
BBS9	6	2699
VPS4A	6	2700
UGT1A4	6	2701
VANGL2	6	2702
MRTFA	6	2703
KCNT1	6	2704
NPTN	6	2705
DNAI1	6	2706
EHMT1	6	2707
CDON	6	2708
EML4	6	2709
ASPN	6	2710
NOX1	6	2711
CELF4	6	2712
IL36RN	6	2713
PCA3	6	2714
OSTF1	6	2715
VCX	6	2716
TNRC6A	6	2717
RBMX	6	2718
LTB4R2	6	2719
FIP1L1	6	2720
ZNF804A	6	2721
UNC93B1	6	2722
CLEC1A	6	2723
TRIB3	6	2724
MUS81	6	2725
NEUROG2	6	2726
TTBK2	6	2727
BMF	6	2728
YPEL3	6	2729
ULBP1	6	2730
ARHGAP11B	6	2731
SLC5A7	6	2732
SMYD3	6	2733
TMPRSS3	6	2734
PTF1A	6	2735
MEGF10	6	2736
ESCO2	6	2737
HNRNPLL	6	2738
OLIG1	6	2739
GPR119	6	2740
BCAN	6	2741
TXLNA	6	2742
FBXO32	6	2743
SLFN5	6	2744
NLRP6	6	2745
FREM1	6	2746
SLC46A3	6	2747
MIR141	6	2748
RSPO2	6	2749
ZCCHC18	6	2750
NPAS4	6	2751
KRTAP5-6	6	2752
CASP12	6	2753
F11R	6	2754
GAK	6	2755
GSK3B	6	2756
EPHB1	6	2757
PAWR	6	2758
NR2E3	6	2759
MAP3K20	6	2760
SP3	6	2761
CD101	5	2762
NFAT5	5	2763
WASL	5	2764
GPAT3	5	2765
JUN	5	2766
PTGIS	5	2767
PAPPA	5	2768
DCT	5	2769
BLNK	5	2770
CXCR2	5	2771
CXCL6	5	2772
ABCG1	5	2773
