gene	cites	cite_delta	cite_rank	cite_rank_delta
ZNF280C	0	-10	5475	-3431
VPS50	0	-7	5475	-701
FERMT1	0	-6	5475	1428
KIF16B	0	-6	5475	1428
ASAP3	0	-6	5475	1428
DOCK10	0	-7	5475	-701
STAP2	0	-5	5475	4404
TRMT1	0	-7	5475	-701
TTC27	0	-7	5475	-701
THUMPD1	0	-7	5475	-701
AMBRA1	0	-9	5475	-2868
SMPD4	0	-7	5475	-701
LRRC40	0	-7	5475	-701
TBC1D22B	0	-5	5475	4404
SYBU	0	-6	5475	1428
OSGEP	0	-6	5475	1428
INTS8	0	-7	5475	-701
PRPF40A	0	-15	5475	-4802
DDX27	0	-15	5475	-4802
CDC37L1	0	-5	5475	4404
URGCP	0	-6	5475	1428
NPLOC4	0	-15	5475	-4802
MFN1	0	-6	5475	1428
NBPF1	0	-4	5475	21289
SLC30A6	0	-5	5475	4404
IWS1	0	-10	5475	-3431
RUFY2	0	-7	5475	-701
SCYL2	0	-10	5475	-3431
KANSL3	0	-5	5475	4404
RABL6	0	-9	5475	-2868
YEATS2	0	-7	5475	-701
PACS1	0	-9	5475	-2868
FRMD4A	0	-6	5475	1428
LUC7L	0	-10	5475	-3431
NSUN5	0	-7	5475	-701
RBM22	0	-13	5475	-4420
VAC14	0	-8	5475	-2004
IARS2	0	-13	5475	-4420
MAP7D1	0	-9	5475	-2868
ARHGEF40	0	-9	5475	-2868
YJU2	0	-7	5475	-701
POLR3B	0	-11	5475	-3874
IPO9	0	-13	5475	-4420
NECAP2	0	-8	5475	-2004
FAR2	0	-5	5475	4404
TENM3	0	-10	5475	-3431
WDR11	0	-9	5475	-2868
POLR3E	0	-8	5475	-2004
SLF2	0	-5	5475	4404
TSR1	0	-12	5475	-4179
INTS13	0	-10	5475	-3431
N4BP2	0	-6	5475	1428
ATF7IP	0	-7	5475	-701
ZFP64	0	-7	5475	-701
ARFGAP1	0	-6	5475	1428
NAXD	0	-6	5475	1428
PARVA	0	-6	5475	1428
NUP133	0	-10	5475	-3431
AGK	0	-12	5475	-4179
OGDHL	0	-6	5475	1428
TMEM30A	0	-6	5475	1428
INTS9	0	-6	5475	1428
UGGT2	0	-8	5475	-2004
RCOR3	0	-6	5475	1428
WDR12	0	-10	5475	-3431
DHX32	0	-6	5475	1428
ZNF701	0	-6	5475	1428
EXOC1	0	-9	5475	-2868
INAVA	0	-6	5475	1428
H2AJ	0	-6	5475	1428
ZNF83	0	-7	5475	-701
EXOC2	0	-8	5475	-2004
TBC1D23	0	-5	5475	4404
TDP1	0	-9	5475	-2868
CMTR2	0	-5	5475	4404
TXLNG	0	-7	5475	-701
LRIF1	0	-8	5475	-2004
DDX28	0	-8	5475	-2004
PCID2	0	-8	5475	-2004
MBNL3	0	-5	5475	4404
METTL2B	0	-5	5475	4404
SCN3B	0	-6	5475	1428
IL26	0	-5	5475	4404
ADAP2	0	-6	5475	1428
TRERF1	0	-5	5475	4404
UTP6	0	-6	5475	1428
KDM3A	0	-8	5475	-2004
VPS11	0	-9	5475	-2868
PECR	0	-7	5475	-701
GLT8D1	0	-6	5475	1428
EMC3	0	-6	5475	1428
UBAP2	0	-14	5475	-4627
CENPJ	0	-6	5475	1428
EAPP	0	-6	5475	1428
EAF2	0	-6	5475	1428
WWC3	0	-6	5475	1428
PPP2R2D	0	-7	5475	-701
BRK1	0	-6	5475	1428
CISD1	0	-8	5475	-2004
USE1	0	-6	5475	1428
TEX2	0	-6	5475	1428
ZC3H15	0	-10	5475	-3431
DENND10P1	0	-6	5475	1428
ACOT13	0	-8	5475	-2004
TMEM165	0	-8	5475	-2004
ACTR10	0	-7	5475	-701
ECHDC1	0	-9	5475	-2868
ZNG1A	0	-6	5475	1428
GPRC5C	0	-5	5475	4404
UNC45A	0	-16	5475	-4922
RNF114	0	-8	5475	-2004
ZC4H2	0	-7	5475	-701
CMAS	0	-11	5475	-3874
BIN3	0	-6	5475	1428
ERBIN	0	-9	5475	-2868
LANCL2	0	-9	5475	-2868
NXT2	0	-5	5475	4404
CTTNBP2NL	0	-6	5475	1428
RCC2	0	-12	5475	-4179
NKRF	0	-14	5475	-4627
DMAP1	0	-11	5475	-3874
MYO5C	0	-6	5475	1428
APOM	0	-5	5475	4404
SULF2	0	-7	5475	-701
SEPTIN3	0	-5	5475	4404
NDUFA12	0	-6	5475	1428
NSFL1C	0	-8	5475	-2004
RAB5IF	0	-5	5475	4404
GNG12	0	-7	5475	-701
BCAP29	0	-6	5475	1428
MYDGF	0	-7	5475	-701
SMG9	0	-8	5475	-2004
ALG1	0	-8	5475	-2004
UBFD1	0	-6	5475	1428
PCDHGB6	0	-6	5475	1428
PCDHA@	0	-5	5475	4404
PCDHB14	0	-6	5475	1428
PCDHB2	0	-5	5475	4404
PCDHAC2	0	-5	5475	4404
PCDHA4	0	-6	5475	1428
TEX11	0	-10	5475	-3431
NSMCE3	0	-7	5475	-701
STK31	0	-7	5475	-701
GSDMC	0	-5	5475	4404
DNAH7	0	-5	5475	4404
MTFR1L	0	-6	5475	1428
SUSD2	0	-5	5475	4404
KIAA1217	0	-6	5475	1428
YLPM1	0	-13	5475	-4420
RNF20	0	-11	5475	-3874
TMX4	0	-6	5475	1428
MEPCE	0	-9	5475	-2868
LRRC8A	0	-8	5475	-2004
CPXM1	0	-6	5475	1428
KYAT3	0	-7	5475	-701
WDR45B	0	-7	5475	-701
GKN1	0	-3	5475	21431
PARD3	0	-10	5475	-3431
TRPV5	0	-5	5475	4404
PPAN	0	-8	5475	-2004
CTPS2	0	-7	5475	-701
CCL28	0	-5	5475	4404
EIF4ENIF1	0	-8	5475	-2004
KCNQ5	0	-5	5475	4404
DNAJC12	0	-5	5475	4404
CHST7	0	-5	5475	4404
INPP5E	0	-4	5475	21289
BCCIP	0	-11	5475	-3874
POLE4	0	-7	5475	-701
ASCL3	0	-5	5475	4404
SAR1A	0	-10	5475	-3431
CFAP298	0	-7	5475	-701
GRIPAP1	0	-8	5475	-2004
EMC7	0	-8	5475	-2004
CDC42SE1	0	-6	5475	1428
UGGT1	0	-10	5475	-3431
KCMF1	0	-7	5475	-701
TM9SF3	0	-7	5475	-701
TCIM	0	-6	5475	1428
UBQLN4	0	-7	5475	-701
AGPAT4	0	-6	5475	1428
DPYSL5	0	-7	5475	-701
WRNIP1	0	-10	5475	-3431
BDH2	0	-7	5475	-701
PAPOLB	0	-6	5475	1428
SH3GLB2	0	-6	5475	1428
SPIRE1	0	-6	5475	1428
IFT46	0	-7	5475	-701
C1GALT1	0	-6	5475	1428
EXOSC5	0	-10	5475	-3431
SMARCAD1	0	-12	5475	-4179
NCLN	0	-9	5475	-2868
GPR108	0	-6	5475	1428
DUS3L	0	-7	5475	-701
PMEPA1	0	-6	5475	1428
HMCES	0	-6	5475	1428
CMC2	0	-6	5475	1428
ENY2	0	-6	5475	1428
MRPS22	0	-10	5475	-3431
EMSY	0	-10	5475	-3431
MFF	0	-9	5475	-2868
SDR39U1	0	-6	5475	1428
XAB2	0	-11	5475	-3874
PRTFDC1	0	-6	5475	1428
NIT2	0	-7	5475	-701
OTUD7B	0	-6	5475	1428
POGLUT1	0	-6	5475	1428
PSMG2	0	-7	5475	-701
BBX	0	-7	5475	-701
CDC42SE2	0	-6	5475	1428
TOMM22	0	-7	5475	-701
CHPT1	0	-5	5475	4404
COQ8A	0	-8	5475	-2004
CTNNBIP1	0	-9	5475	-2868
ADAMTS9	0	-6	5475	1428
SDHAF3	0	-6	5475	1428
CCDC47	0	-12	5475	-4179
COQ9	0	-7	5475	-701
CCNL1	0	-12	5475	-4179
CIAPIN1	0	-9	5475	-2868
VPS35L	0	-8	5475	-2004
PDXP	0	-6	5475	1428
ANKMY2	0	-6	5475	1428
RARS2	0	-7	5475	-701
TWSG1	0	-5	5475	4404
UTP3	0	-9	5475	-2868
TBX20	0	-7	5475	-701
PCBP4	0	-6	5475	1428
DDX24	0	-16	5475	-4922
AGTRAP	0	-5	5475	4404
PLSCR4	0	-7	5475	-701
PCNP	0	-12	5475	-4179
PITHD1	0	-8	5475	-2004
AVEN	0	-10	5475	-3431
NAT14	0	-7	5475	-701
PDSS2	0	-5	5475	4404
REXO4	0	-14	5475	-4627
RAB25	0	-6	5475	1428
ZNF695	0	-5	5475	4404
INTS12	0	-9	5475	-2868
GOPC	0	-8	5475	-2004
NUP107	0	-11	5475	-3874
CD248	0	-8	5475	-2004
CD177	0	-7	5475	-701
LYRM4	0	-6	5475	1428
MRPL47	0	-8	5475	-2004
ATP13A1	0	-11	5475	-3874
CHMP1B	0	-7	5475	-701
APMAP	0	-9	5475	-2868
ADCK1	0	-5	5475	4404
SCYL3	0	-5	5475	4404
RALGAPB	0	-6	5475	1428
LYRM1	0	-5	5475	4404
LYZL6	0	-6	5475	1428
TMEM63C	0	-7	5475	-701
TRIM54	0	-7	5475	-701
ZNFX1	0	-7	5475	-701
DOLPP1	0	-6	5475	1428
CORO1B	0	-9	5475	-2868
VARS2	0	-6	5475	1428
ZMIZ1	0	-6	5475	1428
KIAA1191	0	-6	5475	1428
ANKRD50	0	-7	5475	-701
THOC2	0	-10	5475	-3431
SELENON	0	-6	5475	1428
MCOLN1	0	-8	5475	-2004
ATP10D	0	-5	5475	4404
THAP11	0	-7	5475	-701
VANGL2	0	-6	5475	1428
TTC7A	0	-6	5475	1428
ARFGEF3	0	-7	5475	-701
ERGIC1	0	-8	5475	-2004
PPP4R3B	0	-7	5475	-701
NHSL1	0	-6	5475	1428
LYRM2	0	-5	5475	4404
SNX14	0	-6	5475	1428
PBXIP1	0	-8	5475	-2004
CBX8	0	-12	5475	-4179
SENP7	0	-7	5475	-701
JPH3	0	-5	5475	4404
CLTRN	0	-6	5475	1428
CLK4	0	-8	5475	-2004
CYP20A1	0	-6	5475	1428
SPC25	0	-8	5475	-2004
ABHD6	0	-6	5475	1428
MIF4GD	0	-7	5475	-701
SCYL1	0	-8	5475	-2004
RHBDD2	0	-6	5475	1428
WDR18	0	-8	5475	-2004
NDRG3	0	-7	5475	-701
PLEKHG5	0	-6	5475	1428
GALNT16	0	-6	5475	1428
KIAA1143	0	-9	5475	-2868
TMCC3	0	-6	5475	1428
GATAD2B	0	-11	5475	-3874
PPM1H	0	-7	5475	-701
ISY1	0	-9	5475	-2868
MYORG	0	-6	5475	1428
TBC1D24	0	-6	5475	1428
SCAF4	0	-8	5475	-2004
LRRC47	0	-14	5475	-4627
ZNF512B	0	-10	5475	-3431
USP31	0	-6	5475	1428
PRR12	0	-6	5475	1428
CRACD	0	-6	5475	1428
NLN	0	-6	5475	1428
ESYT2	0	-12	5475	-4179
ODF2L	0	-6	5475	1428
AHRR	0	-7	5475	-701
ARID1B	0	-11	5475	-3874
MRTFB	0	-7	5475	-701
LRFN2	0	-7	5475	-701
MTA3	0	-9	5475	-2868
AARS2	0	-6	5475	1428
INTS2	0	-6	5475	1428
MTUS1	0	-7	5475	-701
COG6	0	-8	5475	-2004
CASKIN2	0	-6	5475	1428
SERINC1	0	-6	5475	1428
STARD9	0	-5	5475	4404
HECW2	0	-7	5475	-701
RPTOR	0	-8	5475	-2004
SRGAP1	0	-6	5475	1428
CGN	0	-7	5475	-701
HACE1	0	-7	5475	-701
ALPK3	0	-6	5475	1428
ZNF398	0	-5	5475	4404
NCEH1	0	-7	5475	-701
MICAL3	0	-7	5475	-701
USP35	0	-6	5475	1428
STAMBPL1	0	-6	5475	1428
ARRDC3	0	-7	5475	-701
ZNF319	0	-6	5475	1428
SIPA1L2	0	-6	5475	1428
TRMT5	0	-6	5475	1428
KIF17	0	-7	5475	-701
FAM135A	0	-5	5475	4404
PREX1	0	-7	5475	-701
TMEM181	0	-5	5475	4404
SYT13	0	-5	5475	4404
CFAP97	0	-6	5475	1428
WDFY1	0	-8	5475	-2004
ZNF687	0	-8	5475	-2004
EBF4	0	-6	5475	1428
HOMEZ	0	-8	5475	-2004
WDR48	0	-8	5475	-2004
FNIP2	0	-6	5475	1428
SLAIN2	0	-10	5475	-3431
DIP2B	0	-7	5475	-701
RANBP10	0	-5	5475	4404
FAM234B	0	-6	5475	1428
RELCH	0	-8	5475	-2004
TSHZ3	0	-7	5475	-701
VPS18	0	-8	5475	-2004
SHROOM3	0	-5	5475	4404
STIM2	0	-7	5475	-701
ZBTB2	0	-6	5475	1428
ZFAT	0	-6	5475	1428
LRCH2	0	-7	5475	-701
EP400	0	-9	5475	-2868
ARHGAP23	0	-6	5475	1428
CCDC146	0	-5	5475	4404
MYH7B	0	-5	5475	4404
POGK	0	-6	5475	1428
DHX37	0	-14	5475	-4627
KIAA1522	0	-7	5475	-701
PHF12	0	-7	5475	-701
GRAMD1A	0	-7	5475	-701
CALCOCO1	0	-6	5475	1428
PHRF1	0	-8	5475	-2004
RDH14	0	-7	5475	-701
BEND3	0	-6	5475	1428
ALS2	0	-6	5475	1428
CACHD1	0	-6	5475	1428
VAT1L	0	-6	5475	1428
ZSWIM6	0	-8	5475	-2004
TNRC6C	0	-6	5475	1428
USP37	0	-11	5475	-3874
DDX55	0	-12	5475	-4179
FANCM	0	-6	5475	1428
SHTN1	0	-10	5475	-3431
FHIP2A	0	-5	5475	4404
CWC22	0	-8	5475	-2004
GBA2	0	-6	5475	1428
DENND1A	0	-7	5475	-701
MEAK7	0	-8	5475	-2004
MIER1	0	-8	5475	-2004
SFMBT2	0	-7	5475	-701
GPR107	0	-5	5475	4404
NCOA5	0	-8	5475	-2004
ANKRD36B	0	-6	5475	1428
SCUBE2	0	-6	5475	1428
RBAK	0	-7	5475	-701
GATAD1	0	-8	5475	-2004
CCAR2	0	-17	5475	-5023
G6PC2	0	-6	5475	1428
LSM2	0	-8	5475	-2004
SLAMF7	0	-5	5475	4404
RAP2C	0	-5	5475	4404
CYP4F11	0	-7	5475	-701
SLC4A5	0	-5	5475	4404
MUC3B	0	-4	5475	21289
PTBP2	0	-9	5475	-2868
SQOR	0	-9	5475	-2868
SRPRB	0	-13	5475	-4420
ENOPH1	0	-8	5475	-2004
RHOU	0	-6	5475	1428
PCTP	0	-5	5475	4404
RPRD1B	0	-13	5475	-4420
INIP	0	-7	5475	-701
OVOL2	0	-6	5475	1428
ZNF250	0	-6	5475	1428
OPRPN	0	-5	5475	4404
OSTC	0	-6	5475	1428
SCAF1	0	-7	5475	-701
CACTIN	0	-10	5475	-3431
DNASE2B	0	-5	5475	4404
DLGAP3	0	-5	5475	4404
EPS15L1	0	-8	5475	-2004
SINHCAF	0	-6	5475	1428
RBM25	0	-15	5475	-4802
WIZ	0	-13	5475	-4420
RRAGD	0	-5	5475	4404
LY6G6D	0	-6	5475	1428
SNX6	0	-7	5475	-701
IL22RA1	0	-5	5475	4404
NTN4	0	-5	5475	4404
UBL5	0	-6	5475	1428
PRDM12	0	-5	5475	4404
PLEKHA1	0	-6	5475	1428
PLEKHA2	0	-6	5475	1428
HRH4	0	-5	5475	4404
SCPEP1	0	-5	5475	4404
SENP2	0	-6	5475	1428
ZNF350	0	-6	5475	1428
KLHL12	0	-6	5475	1428
AFAP1	0	-6	5475	1428
GPBP1L1	0	-6	5475	1428
MYG1	0	-8	5475	-2004
SLC25A19	0	-9	5475	-2868
EXOC4	0	-11	5475	-3874
ELOVL5	0	-10	5475	-3431
SLC5A7	0	-5	5475	4404
SAV1	0	-7	5475	-701
TRMT11	0	-7	5475	-701
MRPS35	0	-7	5475	-701
NIF3L1	0	-6	5475	1428
FASTKD5	0	-8	5475	-2004
HPSE2	0	-5	5475	4404
AASDHPPT	0	-8	5475	-2004
LDAH	0	-6	5475	1428
ELAC2	0	-7	5475	-701
GUF1	0	-7	5475	-701
SPCS3	0	-6	5475	1428
NAA35	0	-6	5475	1428
RINT1	0	-8	5475	-2004
SCOC	0	-6	5475	1428
DHX35	0	-8	5475	-2004
RIC8A	0	-6	5475	1428
MIIP	0	-5	5475	4404
ATG101	0	-6	5475	1428
CELF6	0	-7	5475	-701
EEFSEC	0	-9	5475	-2868
TRAPPC11	0	-7	5475	-701
ZFAND3	0	-5	5475	4404
BCORL1	0	-7	5475	-701
SRR	0	-6	5475	1428
MRPL17	0	-7	5475	-701
FAM204A	0	-6	5475	1428
RNF123	0	-6	5475	1428
VIPAS39	0	-6	5475	1428
HEATR6	0	-7	5475	-701
SH2D4A	0	-5	5475	4404
ELMO2	0	-7	5475	-701
CHTF18	0	-8	5475	-2004
TNN	0	-6	5475	1428
MRPS14	0	-6	5475	1428
STEEP1	0	-8	5475	-2004
ZNF667	0	-6	5475	1428
FKBPL	0	-7	5475	-701
CLSPN	0	-7	5475	-701
FIGNL1	0	-7	5475	-701
ANO3	0	-5	5475	4404
MYO1G	0	-8	5475	-2004
RBM26	0	-9	5475	-2868
NPAS3	0	-6	5475	1428
C19orf33	0	-5	5475	4404
LHPP	0	-6	5475	1428
RBKS	0	-5	5475	4404
PBLD	0	-5	5475	4404
MCCC2	0	-14	5475	-4627
SNX16	0	-3	5475	21431
SMOC1	0	-5	5475	4404
SMOC2	0	-6	5475	1428
PARVG	0	-7	5475	-701
CENPK	0	-7	5475	-701
DUS1L	0	-6	5475	1428
FN3K	0	-6	5475	1428
RBSN	0	-6	5475	1428
C17orf75	0	-7	5475	-701
OSGEPL1	0	-5	5475	4404
IRF2BPL	0	-10	5475	-3431
MMS19	0	-8	5475	-2004
DNAJC1	0	-6	5475	1428
TFB2M	0	-9	5475	-2868
ROBO3	0	-8	5475	-2004
TOR3A	0	-6	5475	1428
MLST8	0	-6	5475	1428
ATL2	0	-6	5475	1428
PDLIM2	0	-6	5475	1428
ABCG5	0	-7	5475	-701
ABCG8	0	-6	5475	1428
TENT4B	0	-9	5475	-2868
ARHGEF28	0	-6	5475	1428
RAB17	0	-5	5475	4404
RHBDF1	0	-5	5475	4404
SOX17	0	-7	5475	-701
XPO4	0	-7	5475	-701
NFKBIZ	0	-6	5475	1428
ARHGAP9	0	-7	5475	-701
HS1BP3	0	-6	5475	1428
HIF3A	0	-8	5475	-2004
NXN	0	-8	5475	-2004
GREM2	0	-6	5475	1428
GMCL1	0	-6	5475	1428
GZF1	0	-6	5475	1428
TMEM168	0	-6	5475	1428
ATG3	0	-9	5475	-2868
POLR1E	0	-11	5475	-3874
SUDS3	0	-7	5475	-701
CIAO3	0	-6	5475	1428
ACTR6	0	-5	5475	4404
MRPS25	0	-8	5475	-2004
NOM1	0	-11	5475	-3874
CSMD1	0	-7	5475	-701
GIGYF1	0	-6	5475	1428
VPS16	0	-9	5475	-2868
ANAPC1	0	-10	5475	-3431
GORASP1	0	-6	5475	1428
COPS7B	0	-9	5475	-2868
NUCKS1	0	-8	5475	-2004
WDR13	0	-6	5475	1428
SMAP2	0	-9	5475	-2868
METTL17	0	-7	5475	-701
ACBD3	0	-10	5475	-3431
SMURF2	0	-11	5475	-3874
RUSF1	0	-7	5475	-701
ATPAF1	0	-6	5475	1428
PARP12	0	-6	5475	1428
GAREM1	0	-6	5475	1428
ZNF574	0	-8	5475	-2004
IPPK	0	-7	5475	-701
MEAF6	0	-9	5475	-2868
CFAP68	0	-5	5475	4404
RMND5B	0	-5	5475	4404
CRTC3	0	-6	5475	1428
GINS3	0	-10	5475	-3431
TBC1D15	0	-6	5475	1428
EPS8L2	0	-6	5475	1428
CEP85	0	-9	5475	-2868
DDX31	0	-9	5475	-2868
RMND5A	0	-5	5475	4404
EFCAB6	0	-5	5475	4404
IL25	0	-6	5475	1428
ELOVL1	0	-8	5475	-2004
KLC2	0	-10	5475	-3431
FBXL17	0	-7	5475	-701
PORCN	0	-7	5475	-701
GNPNAT1	0	-7	5475	-701
TUT1	0	-6	5475	1428
AIDA	0	-8	5475	-2004
USP46	0	-4	5475	21289
NIBAN2	0	-10	5475	-3431
ARMCX5	0	-7	5475	-701
PAPOLG	0	-7	5475	-701
C12orf43	0	-8	5475	-2004
RANBP17	0	-6	5475	1428
AGXT2	0	-7	5475	-701
SLC30A5	0	-5	5475	4404
TTC23	0	-7	5475	-701
MRPL14	0	-8	5475	-2004
NT5DC2	0	-9	5475	-2868
MRPS26	0	-8	5475	-2004
MRPS24	0	-6	5475	1428
MRPS15	0	-6	5475	1428
MRPS11	0	-7	5475	-701
MRPS9	0	-9	5475	-2868
MRPS6	0	-6	5475	1428
MRPS5	0	-8	5475	-2004
MRPL41	0	-5	5475	4404
MRPL40	0	-6	5475	1428
MRPL38	0	-7	5475	-701
MRPL34	0	-6	5475	1428
MRPL32	0	-7	5475	-701
MRPL11	0	-11	5475	-3874
MRPL9	0	-8	5475	-2004
MRPL1	0	-7	5475	-701
NDRG4	0	-7	5475	-701
SLC26A6	0	-6	5475	1428
GPBP1	0	-7	5475	-701
TMEM237	0	-7	5475	-701
MRPL44	0	-7	5475	-701
VPS33A	0	-7	5475	-701
NOL6	0	-9	5475	-2868
TMEM135	0	-5	5475	4404
KRI1	0	-8	5475	-2004
MARCKSL1	0	-13	5475	-4420
UPF3B	0	-9	5475	-2868
RSRC2	0	-7	5475	-701
INTS3	0	-7	5475	-701
SOWAHC	0	-6	5475	1428
ZFP69B	0	-6	5475	1428
ZNF649	0	-7	5475	-701
COA7	0	-7	5475	-701
PYCR3	0	-7	5475	-701
UBE2Z	0	-10	5475	-3431
C8orf33	0	-10	5475	-3431
WNK3	0	-8	5475	-2004
WNK2	0	-7	5475	-701
STK33	0	-5	5475	4404
PHACTR4	0	-8	5475	-2004
AACS	0	-6	5475	1428
FUNDC2	0	-7	5475	-701
DDRGK1	0	-8	5475	-2004
MRPS34	0	-8	5475	-2004
CHID1	0	-9	5475	-2868
MTMR9	0	-6	5475	1428
DUSP26	0	-6	5475	1428
MRPL57	0	-6	5475	1428
PCYOX1L	0	-6	5475	1428
RHPN1-AS1	0	-5	5475	4404
TRIR	0	-12	5475	-4179
MIS12	0	-7	5475	-701
CUEDC2	0	-6	5475	1428
SCNM1	0	-6	5475	1428
DDX50	0	-14	5475	-4627
DDA1	0	-6	5475	1428
GGCT	0	-11	5475	-3874
GID4	0	-5	5475	4404
NUP37	0	-7	5475	-701
FNDC11	0	-6	5475	1428
AFG2B	0	-8	5475	-2004
PDCL3	0	-6	5475	1428
ERI3	0	-6	5475	1428
ZFYVE21	0	-6	5475	1428
DDX54	0	-11	5475	-3874
TSEN34	0	-5	5475	4404
SECISBP2	0	-6	5475	1428
NOC4L	0	-9	5475	-2868
ATG9A	0	-9	5475	-2868
POGLUT2	0	-6	5475	1428
TMEM109	0	-8	5475	-2004
C2orf49	0	-7	5475	-701
DSCC1	0	-6	5475	1428
DCTPP1	0	-7	5475	-701
LBHD1	0	-5	5475	4404
WDR77	0	-14	5475	-4627
ALG12	0	-6	5475	1428
CARD14	0	-7	5475	-701
BBLN	0	-4	5475	21289
C1orf116	0	-6	5475	1428
TAF1D	0	-7	5475	-701
MAPKAP1	0	-7	5475	-701
RETREG2	0	-7	5475	-701
PHF23	0	-6	5475	1428
CHCHD7	0	-6	5475	1428
GNPTAB	0	-8	5475	-2004
NOL12	0	-7	5475	-701
LINC01711	0	-7	5475	-701
LENG1	0	-6	5475	1428
C1orf35	0	-13	5475	-4420
RBM42	0	-9	5475	-2868
FBXL15	0	-6	5475	1428
THTPA	0	-6	5475	1428
EFHD2	0	-13	5475	-4420
TTPAL	0	-6	5475	1428
BRCC3	0	-13	5475	-4420
FSD1	0	-6	5475	1428
THOC6	0	-11	5475	-3874
ZNF557	0	-6	5475	1428
DCAF10	0	-6	5475	1428
HMGN5	0	-8	5475	-2004
CYBC1	0	-6	5475	1428
HAUS3	0	-7	5475	-701
FYCO1	0	-12	5475	-4179
BIRC7	0	-5	5475	4404
RIPOR1	0	-6	5475	1428
MAIP1	0	-8	5475	-2004
ATP13A3	0	-6	5475	1428
TTC13	0	-6	5475	1428
EPS8L3	0	-6	5475	1428
NKAP	0	-9	5475	-2868
CORO7	0	-6	5475	1428
CHPF	0	-7	5475	-701
CARS2	0	-7	5475	-701
RNF128	0	-5	5475	4404
MRPL24	0	-8	5475	-2004
ARMH3	0	-6	5475	1428
MUL1	0	-6	5475	1428
SAP130	0	-7	5475	-701
OBI1	0	-6	5475	1428
CEP97	0	-8	5475	-2004
FAM118B	0	-6	5475	1428
NAA16	0	-7	5475	-701
RNASEH2B	0	-6	5475	1428
GALNT14	0	-5	5475	4404
ARMT1	0	-6	5475	1428
EFL1	0	-6	5475	1428
SCRN3	0	-6	5475	1428
CHMP6	0	-6	5475	1428
PANK3	0	-5	5475	4404
MCPH1	0	-7	5475	-701
HECTD3	0	-8	5475	-2004
BEND5	0	-5	5475	4404
RPAP3	0	-9	5475	-2868
DYNC2H1	0	-7	5475	-701
NEIL1	0	-6	5475	1428
ICE2	0	-6	5475	1428
DHX40	0	-7	5475	-701
PLEKHF2	0	-6	5475	1428
KLF3-AS1	0	-5	5475	4404
FN3KRP	0	-7	5475	-701
FASTKD1	0	-6	5475	1428
OGFOD2	0	-5	5475	4404
SMC6	0	-12	5475	-4179
QTRT2	0	-7	5475	-701
YRDC	0	-7	5475	-701
ZC2HC1C	0	-5	5475	4404
RIOX1	0	-9	5475	-2868
ZYG11B	0	-10	5475	-3431
OGFOD3	0	-6	5475	1428
LRRK1	0	-6	5475	1428
PRKRIP1	0	-8	5475	-2004
NOL9	0	-13	5475	-4420
COLGALT1	0	-9	5475	-2868
IPO4	0	-15	5475	-4802
CCDC51	0	-7	5475	-701
NPEPL1	0	-6	5475	1428
PPCS	0	-7	5475	-701
TBL1XR1	0	-13	5475	-4420
VPS37B	0	-6	5475	1428
ZNF768	0	-6	5475	1428
NARS2	0	-9	5475	-2868
E2F8	0	-6	5475	1428
TBC1D17	0	-6	5475	1428
CCDC7	0	-6	5475	1428
CLIP4	0	-6	5475	1428
ECHDC3	0	-5	5475	4404
SLC25A22	0	-10	5475	-3431
ZFAND1	0	-5	5475	4404
DHRS12	0	-6	5475	1428
ZNF668	0	-5	5475	4404
C1orf115	0	-6	5475	1428
ISOC2	0	-8	5475	-2004
KATNBL1	0	-6	5475	1428
TXNDC15	0	-6	5475	1428
ZFHX4	0	-6	5475	1428
MICALL2	0	-6	5475	1428
CCDC82	0	-6	5475	1428
SUGCT	0	-6	5475	1428
CLMN	0	-6	5475	1428
SPRING1	0	-6	5475	1428
ALG9	0	-7	5475	-701
UGT2A3	0	-6	5475	1428
VASH2	0	-7	5475	-701
GSTCD	0	-6	5475	1428
ZNF552	0	-6	5475	1428
CLMP	0	-7	5475	-701
METTL8	0	-6	5475	1428
NAA40	0	-7	5475	-701
ZMYM1	0	-6	5475	1428
QSER1	0	-9	5475	-2868
GEMIN6	0	-6	5475	1428
PEAK1	0	-8	5475	-2004
LONRF3	0	-6	5475	1428
PIP4K2C	0	-7	5475	-701
TUBAL3	0	-6	5475	1428
TCTN2	0	-7	5475	-701
ALG13	0	-6	5475	1428
CPSF7	0	-15	5475	-4802
RPAP2	0	-6	5475	1428
CBLL1	0	-6	5475	1428
NUDT18	0	-5	5475	4404
RABEP2	0	-8	5475	-2004
UBA5	0	-8	5475	-2004
DCAKD	0	-6	5475	1428
CCDC134	0	-9	5475	-2868
ZC3H14	0	-10	5475	-3431
HDAC11	0	-9	5475	-2868
MCMBP	0	-8	5475	-2004
GGNBP2	0	-7	5475	-701
THNSL1	0	-6	5475	1428
RPP21	0	-6	5475	1428
NUP85	0	-8	5475	-2004
ACTR5	0	-5	5475	4404
MAB21L4	0	-6	5475	1428
TCEAL4	0	-6	5475	1428
MRM1	0	-8	5475	-2004
ADM2	0	-6	5475	1428
DOK3	0	-7	5475	-701
KIAA0319L	0	-8	5475	-2004
COQ8B	0	-5	5475	4404
SLC35E1	0	-7	5475	-701
L2HGDH	0	-6	5475	1428
PLEKHS1	0	-6	5475	1428
ERMP1	0	-7	5475	-701
DENND2D	0	-5	5475	4404
WDR76	0	-8	5475	-2004
