## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
DYRK4	6	6	2224	15389	0	0
TRIM24	6	-9	2224	-1541	3	3	4323	-5938
BANF1	6	-4	2224	-175	3	3	4288	-5806
FGF18	6	6	2224	15389	1	-2	6029	2269
NRP1	6	-6	2224	-922	32	10	577	-307
GGH	6	-3	2224	393	8	-4	2151	614
CFLAR	6	-1	2224	2573	19	15	993	-2619
CCN4	6	-1	2224	2573	6	-2	2702	569
SGPL1	6	-8	2224	-1373	1	1	7380	-3141
TAX1BP1	6	-2	2224	1268	1	-1	7501	1891
MTMR3	6	0	2224	4700	0	0	10715	-51
CACNA1I	6	0	2224	4700	1	-2	7506	3066
HERC3	6	-2	2224	1268	0	-1	10728	3209
AP3D1	6	-7	2224	-1157	0	0	10645	-60
PLOD3	6	-1	2224	2573	0	-1	10627	3176
HSPB3	6	6	2224	15389	0	0	10617	-61
HIP1R	6	-2	2224	1268	0	-1	9043	2508
MAP7	6	-3	2224	393	9	8	1873	-4682
PRC1	6	-4	2224	-175	5	-3	2942	869
CLDN2	6	-2	2224	1268	1	-2	6533	2461
EIF1AY	6	-1	2224	2573	2	1	5023	-1525
TBX19	6	6	2224	15389	2	-2	4664	1433
TBX18	6	6	2224	15389	0	0
USP2	6	1	2224	7672	2	-2	5142	1675
USP10	6	-15	2224	-2001	2	1	5144	-1576
LATS1	6	-6	2224	-922	8	4	2113	-1361
ATP6V0D1	6	0	2224	4700	1	-1	6720	1555
PRPF3	6	-8	2224	-1373	0	0	8854	-76
AP4M1	6	-1	2224	2573	0	-1	9329	2619
OSMR	6	-1	2224	2573	14	8	1316	-1269
ARHGEF2	6	-5	2224	-604	1	0	6073	-6
RAB11B	6	-1	2224	2573	6	1	2636	-381
DLG5	6	-2	2224	1268	2	1	5153	-1585
TBRG4	6	0	2224	4700	0	-2	9382	4201
DHRS3	6	6	2224	15389	2	0	5160	-19
ADGRG1	6	-1	2224	2573	21	15	906	-1747
CD83	6	2	2224	15249	19	0	953	-11
TRIP13	6	-5	2224	-604	2	1	5257	-1651
HMGN3	6	-1	2224	2573	2	1	5263	-1659
TXNL1	6	-2	2224	1268	0	-1	9962	2831
NHERF1	6	-3	2224	393	0	0
ENTREP1	6	6	2224	15389	0	0
TJP2	6	-8	2224	-1373	5	3	2998	-2163
MED17	6	-1	2224	2573	0	-3	9341	5186
MED27	6	1	2224	7672	0	0	9314	-38
RASAL2	6	-2	2224	1268	0	-2	9181	4095
HAND2	6	0	2224	4700	6	1	2611	-379
ROCK2	6	-3	2224	393	6	0	2613	20
TBX4	6	0	2224	4700	17	0	1116	7
MYOT	6	6	2224	15389	1	0	6072	-5
ADAMTS2	6	0	2224	4700	3	0	3824	-4
ADAMTS1	6	-2	2224	1268	7	4	2362	-1909
BAG4	6	-1	2224	2573	0	-5	9796	6733
BAG2	6	-6	2224	-922	4	2	3452	-1719
RAB3D	6	-2	2224	1268	1	-1	6725	1555
GDF3	6	0	2224	4700	2	-1	4963	939
PREPL	6	0	2224	4700	2	2	5111	-4190
RBM39	6	-9	2224	-1541	3	2	4087	-2583
VPS9D1	6	6	2224	15389	0	0	9243	-46
CARTPT	6	6	2224	15389	0	0
MTRF1	6	1	2224	7672	1	-8	6668	4745
TRAF4	6	-5	2224	-604	0	-2	9419	4222
DZIP3	6	-1	2224	2573	0	0	9398	-44
IPO13	6	-2	2224	1268	2	-1	5178	993
SDC3	6	0	2224	4700	1	1	6776	-2678
UBE3C	6	-3	2224	393	1	0	6771	9
EMC2	6	-2	2224	1268	1	1	6616	-2597
HERPUD1	6	0	2224	4700	2	0	5075	-2
DOCK4	6	-1	2224	2573	3	-4	4135	1824
CCP110	6	-2	2224	1268	0	0	9458	-39
SETD1A	6	1	2224	7672	0	0
LAPTM4A	6	6	2224	15389	1	1	6795	-2686
CLSTN3	6	1	2224	7672	0	0
HDAC4	6	-1	2224	2573	0	-7	8425	6244
TOX	6	-3	2224	393	14	8	1321	-1298
DHX38	6	-3	2224	393	1	0	6962	5
SPCS2	6	-2	2224	1268	0	0
SPOCK2	6	-2	2224	1268	6	6	2666	-7260
DELE1	6	6	2224	15389	0	0
ARHGAP11A	6	-2	2224	1268	0	0
CEP350	6	-2	2224	1268	0	0	9868	-52
TOMM70	6	-5	2224	-604	0	-1	9879	2806
TLK1	6	0	2224	4700	3	3	4230	-5625
TBC1D4	6	-2	2224	1268	4	-11	3516	2271
TELO2	6	0	2224	4700	0	0	9772	-52
SEC16A	6	-9	2224	-1541	0	0	9560	-40
MFN2	6	-10	2224	-1657	14	-7	1283	380
EXOG	6	0	2224	4700	0	0
USP15	6	-10	2224	-1657	2	1	5301	-1675
SLC23A1	6	1	2224	7672	1	-3	6043	2837
MED12	6	-6	2224	-922	9	-9	1917	863
SLC12A6	6	2	2224	15249	0	0	9961	-53
NR2E3	6	6	2224	15389	6	0	2770	11
SH2B3	6	6	2224	15389	4	-2	3536	870
IL18BP	6	1	2224	7672	9	4	1915	-1157
ATP9A	6	0	2224	4700	0	-2	9925	4552
USH1C	6	1	2224	7672	3	-3	3761	1337
PQBP1	6	-5	2224	-604	2	-2	5365	1815
ARPC1B	6	-6	2224	-922	1	0	6036	-13
TRAP1	6	-13	2224	-1919	1	-1	7207	1763
OPTN	6	-1	2224	2573	9	-1	1929	130
EBI3	6	1	2224	7672	7	5	2382	-3089
ABI2	6	0	2224	4700	0	-2	9479	4254
SLC25A13	6	-11	2224	-1759	27	10	684	-391
ALYREF	6	-10	2224	-1657	6	0	2642	22
TOPORS	6	-1	2224	2573	0	-1	9797	2777
ANGPTL7	6	-2	2224	1268	3	0	4221	-47
GDF11	6	-4	2224	-175	18	-10	1032	331
HNRNPR	6	-15	2224	-2001	3	2	4239	-2824
CALCOCO2	6	-4	2224	-175	2	-4	5338	2678
UBE4B	6	-4	2224	-175	5	4	2945	-3602
CWC27	6	-6	2224	-922	0	0
TRAIP	6	0	2224	4700	3	3	4605	-8288
PAK4	6	-6	2224	-922	1	-1	6047	1372
ZNF267	6	6	2224	15389	0	-1	9122	2527
TCIRG1	6	-1	2224	2573	3	1	3784	-894
LANCL1	6	-3	2224	393	0	0	9128	-48
TFG	6	-8	2224	-1373	2	0	5061	-1
ABCA9	6	6	2224	15389	1	-1	6655	1553
IRF9	6	-2	2224	1268	2	1	5100	-1558
DLC1	6	0	2224	4700	3	1	4079	-1024
SEC24B	6	-2	2224	1268	1	1	6999	-2824
PPIE	6	0	2224	4700	4	4	3491	-6223
BAIAP2	6	-7	2224	-1157	1	-2	6930	2700
MERTK	6	-2	2224	1268	18	-4	1043	161
ATP5PD	6	-3	2224	393	0	0	9657	-44
FBLN5	6	6	2224	15389	2	-1	5278	1040
FBXW10	6	0	2224	4700	0	0	9677	-46
NOP56	6	-13	2224	-1919	0	0	9794	-46
RNASEH2A	6	0	2224	4700	4	3	3514	-3510
ANP32B	6	-3	2224	393	0	0	9502	-36
IFITM2	6	6	2224	15389	2	2	5220	-4355
SCGN	6	6	2224	15389	2	0	5226	-29
AHSA1	6	-8	2224	-1373	2	0	5219	-30
TRIM3	6	-2	2224	1268	2	1	5316	-1692
SPAG5	6	-2	2224	1268	0	0	9793	-46
CELF2	6	-4	2224	-175	1	-1	7024	1693
KLF1	6	6	2224	15389	3	-3	4232	1577
CD226	6	-1	2224	2573	18	0	1046	-7
RRAGA	6	0	2224	4700	0	0	9811	-55
POLD3	6	-3	2224	393	3	3	4304	-5856
PTGES3	6	-5	2224	-604	3	0	4295	-35
RBBP9	6	0	2224	4700	0	0	9892	-56
PLK2	6	0	2224	4700	0	-1	9883	2806
SRSF10	6	-4	2224	-175	0	0	9900	-55
NEK6	6	0	2224	4700	2	0	5456	-30
ZNF460	6	0	2224	4700	0	0
CYSLTR1	6	6	2224	15389	21	5	909	-261
GJB6	6	6	2224	15389	2	-6	5487	3359
PDE10A	6	-1	2224	2573	9	-4	1826	446
SRCAP	6	-2	2224	1268	6	2	2694	-907
PPP1R13L	6	-1	2224	2573	1	1	7330	-3090
HPSE	6	-2	2224	1268	7	-4	2191	630
SLC26A1	6	6	2224	15389	0	0
USP19	6	-6	2224	-922	0	-1	10348	3029
CFHR4	6	-1	2224	2573	3	3	4342	-6056
CFHR3	6	-2	2224	1268	0	-1	10350	3028
ACTL7A	6	6	2224	15389	0	-1	10337	3025
CPSF4	6	-1	2224	2573	0	-1	10436	3072
BRD8	6	-1	2224	2573	7	6	2384	-4967
MAN1A2	6	6	2224	15389	1	-1	7350	1832
MAGED2	6	-11	2224	-1759	1	0	6984	1
PRDX3	6	-7	2224	-1157	3	-2	4181	1131
LMAN2	6	-3	2224	393	0	0	9958	-53
RAB32	6	6	2224	15389	0	0
GCN1	6	-11	2224	-1759	0	0	9984	-48
SLC27A4	6	-2	2224	1268	1	-2	7137	2822
IFT27	6	0	2224	4700	0	0	9995	-49
RAB35	6	-2	2224	1268	1	-6	7136	4796
LILRB3	6	6	2224	15389	0	-6	10016	7347
LILRA2	6	6	2224	15389	3	2	4283	-2885
WWP2	6	-9	2224	-1541	7	6	2365	-4726
TRIOBP	6	-2	2224	1268	0	0	10242	-45
ESM1	6	0	2224	4700	6	2	2687	-907
WDR5	6	-12	2224	-1838	4	-2	3571	890
CEP43	6	6	2224	15389	4	2	3570	-1915
EMILIN1	6	0	2224	4700	5	0	3100	5
CDC37	6	-6	2224	-922	2	1	5371	-1747
SOX21	6	-1	2224	2573	2	-8	5400	3604
RASSF1	6	-2	2224	1268	4	2	3560	-1893
IRAK3	6	2	2224	15249	3	-1	4407	780
AKAP11	6	0	2224	4700	3	-2	4395	1278
HPS5	6	6	2224	15389	3	0	4396	-32
ATXN2L	6	-12	2224	-1838	4	4	3599	-6983
USP18	6	0	2224	4700	6	0	2703	14
SCN11A	6	0	2224	4700	8	5	2094	-1997
GABARAP	6	1	2224	7672	13	7	1413	-1283
U2AF2	6	-16	2224	-2037	5	-4	3120	1159
SCRG1	6	0	2224	4700	1	1	7465	-3235
IKZF2	6	0	2224	4700	12	-3	1508	257
AAK1	6	-3	2224	393	5	-3	3135	994
PPP6R1	6	-2	2224	1268	0	0
DIS3	6	-8	2224	-1373	2	-1	5496	1109
TRAK1	6	6	2224	15389	1	0	7338	1
CD93	6	0	2224	4700	21	6	872	-316
P2RX2	6	0	2224	4700	3	3	4376	-6214
TRIM32	6	-6	2224	-922	3	1	4381	-1186
NT5C2	6	-2	2224	1268	0	0
CEP131	6	-2	2224	1268	0	0	10525	-61
CEP152	6	6	2224	15389	0	-4	10561	6942
MAPKBP1	6	6	2224	15389	0	0
SNRNP200	6	-10	2224	-1657	1	0	7377	4
EMC1	6	-3	2224	393	1	1	6081	-2487
MYCBP2	6	-3	2224	393	3	2	4129	-2630
ERC1	6	-3	2224	393	5	0	2992	-5
PEG10	6	-5	2224	-604	5	-1	2988	387
ZNF423	6	6	2224	15389	2	2	5170	-4263
ARHGAP26	6	6	2224	15389	4	3	3461	-3316
TTLL5	6	6	2224	15389	0	0
SIPA1L3	6	1	2224	7672	0	0
MCF2L2	6	6	2224	15389	0	0
TAB2	6	-8	2224	-1373	1	-1	6619	1545
SMC5	6	-4	2224	-175	6	0	2609	22
ZCCHC14	6	0	2224	4700	0	0
GANAB	6	-11	2224	-1759	3	1	4160	-1097
ATP11B	6	6	2224	15389	1	-3	6867	3363
ACSBG1	6	6	2224	15389	1	0	6862	8
SYNE2	6	0	2224	4700	1	-2	6879	2670
ANKRD28	6	-3	2224	393	0	0
MTCL1	6	-1	2224	2573	0	0	9578	-39
CLEC16A	6	0	2224	4700	1	-1	6884	1616
ANKS1A	6	0	2224	4700	0	0	9617	-44
ACSL6	6	6	2224	15389	0	-3	8983	4947
SIN3B	6	-2	2224	1268	0	-1	9603	2714
TUT4	6	-4	2224	-175	0	0
TRIM2	6	-4	2224	-175	0	0
RPGRIP1L	6	1	2224	7672	0	0
USP22	6	-3	2224	393	1	0	6952	6
VPS39	6	-1	2224	2573	3	3	4193	-5554
CRTC1	6	-1	2224	2573	1	0	7042	-11
LARS2	6	-6	2224	-922	0	-1	10087	2895
AP4E1	6	0	2224	4700	0	0	9853	-49
CELA3B	6	6	2224	15389	2	0	5337	-13
SF3B3	6	-13	2224	-1919	1	0	7055	-6
HEY1	6	6	2224	15389	0	-4	9516	6019
CBX5	6	-7	2224	-1157	2	1	5207	-1618
SCRIB	6	-6	2224	-922	21	6	905	-338
MTREX	6	-8	2224	-1373	1	1	6976	-2812
KAT6B	6	1	2224	7672	3	0	4207	-47
ATP6V0A2	6	0	2224	4700	2	2	5265	-4447
CLDN14	6	6	2224	15389	2	1	5415	-1791
ZNF346	6	-1	2224	2573	0	-1	10144	2926
ARL2BP	6	6	2224	15389	0	0
DDAH1	6	-3	2224	393	0	0
CASP14	6	-3	2224	393	5	5	3093	-7091
CCNDBP1	6	-1	2224	2573	1	1	7257	-3023
DNAAF11	6	6	2224	15389	0	0
SNHG1	6	-3	2224	393	1	0	7172	-9
CEMIP2	6	-3	2224	393	0	0
SMPX	6	6	2224	15389	0	0
KCNE4	6	0	2224	4700	5	4	3070	-4018
GABARAPL1	6	0	2224	4700	2	0	5347	-16
IL17RA	6	-2	2224	1268	7	2	2366	-705
FTSJ1	6	0	2224	4700	2	2	5354	-4603
PRPF6	6	-9	2224	-1541	0	0	10252	-43
HECTD1	6	-3	2224	393	0	0
TMEM158	6	0	2224	4700	0	0	10526	-61
POT1	6	1	2224	7672	11	-7	1614	557
ZNF385A	6	6	2224	15389	0	0
KANK2	6	-1	2224	2573	0	0	10798	-46
CHMP2B	6	-1	2224	2573	5	5	3133	-7710
HIGD1A	6	0	2224	4700	2	1	5710	-2054
SPATS2L	6	-4	2224	-175	0	0	11242	-49
OSBPL3	6	-1	2224	2573	1	-2	7739	3233
SETBP1	6	1	2224	7672	4	-5	3357	1468
DNM3	6	0	2224	4700	2	0	5689	-2
AUTS2	6	0	2224	4700	2	-6	5685	3540
RAI14	6	-8	2224	-1373	0	-1	11106	3394
POLDIP2	6	-4	2224	-175	1	1	7683	-3481
TOR1AIP1	6	-3	2224	393	1	-2	7677	3189
PYGO1	6	6	2224	15389	1	1	7149	-2917
PRPF31	6	-13	2224	-1919	3	0	3952	-39
SERBP1	6	-17	2224	-2073	0	-2	10003	4605
ABCA12	6	-1	2224	2573	17	-9	1083	335
BLOC1S6	6	1	2224	7672	1	-2	7222	2876
SACS	6	-1	2224	2573	4	3	3558	-3669
PTPN18	6	6	2224	15389	0	0	11232	-49
PPP1R14B	6	-3	2224	393	1	1	7735	-3516
HEYL	6	1	2224	7672	1	0	7733	-32
IL36RN	6	0	2224	4700	2	-4	5677	2964
MYEOV	6	6	2224	15389	0	0
SNORD60	6	6	2224	15389	0	0
STEAP1	6	6	2224	15389	4	1	3631	-838
SIGLEC7	6	1	2224	7672	2	-2	5664	2005
PELP1	6	-4	2224	-175	3	1	3791	-890
SND1	6	-10	2224	-1657	2	-1	5666	1187
BBC3	6	1	2224	7672	25	-14	742	253
DKK3	6	-2	2224	1268	7	2	2388	-719
INVS	6	6	2224	15389	4	4	3592	-6906
SNX5	6	-2	2224	1268	4	3	3593	-3777
INTU	6	0	2224	4700	0	0
AGO2	6	-10	2224	-1657	2	-2	5585	1956
HCAR1	6	1	2224	7672	12	5	1506	-863
OXGR1	6	6	2224	15389	2	0	5572	-37
BBS9	6	6	2224	15389	0	-6	10704	8005
NFU1	6	0	2224	4700	0	0
DIMT1	6	-4	2224	-175	0	0
TNRC6A	6	-7	2224	-1157	5	-1	3150	433
PRPF19	6	-12	2224	-1838	1	-1	7624	1954
IGKV2-29	6	-2	2224	1268	0	0
FLVCR1	6	-1	2224	2573	4	1	3619	-834
ATAD2	6	-4	2224	-175	0	0
METTL5	6	1	2224	7672	0	0
UBE2T	6	-7	2224	-1157	0	0
CNIH4	6	0	2224	4700	0	-3	9687	5450
N6AMT1	6	6	2224	15389	0	-3	9672	5440
SAP30BP	6	-2	2224	1268	0	0
CTNNA3	6	6	2224	15389	0	0
LGALS13	6	1	2224	7672	0	0	9822	-54
RACGAP1	6	-9	2224	-1541	0	-1	9838	2788
CARD10	6	6	2224	15389	1	1	7030	-2844
NCAPH2	6	0	2224	4700	0	-1	9818	2785
SENP1	6	-2	2224	1268	4	1	3517	-757
GPSM2	6	-2	2224	1268	0	-1	10106	2909
SLC25A24	6	-1	2224	2573	1	0	8345	-102
OBP2A	6	6	2224	15389	0	0	10604	-59
LMCD1	6	-2	2224	1268	0	0
SLC40A1	6	0	2224	4700	0	0
STOML2	6	-8	2224	-1373	0	0	10460	-60
SCAPER	6	0	2224	4700	13	10	1411	-2985
DUOX2	6	0	2224	4700	10	-4	1754	412
HDGFL3	6	-2	2224	1268	1	1	8351	-4559
IMPG2	6	0	2224	4700	0	0
RRP15	6	-4	2224	-175	0	-1	10949	3300
WDPCP	6	6	2224	15389	0	0	10661	-62
NOSIP	6	-3	2224	393	0	-1	10655	3190
TRNT1	6	0	2224	4700	5	5	3110	-7459
CEP83	6	3	2224	15388	0	0
IRAK4	6	1	2224	7672	25	1	753	-61
MYO15A	6	0	2224	4700	3	-1	4492	804
RSL24D1	6	0	2224	4700	1	1	7803	-3591
PLCE1	6	-2	2224	1268	7	5	2412	-3336
ACP6	6	1	2224	7672	1	1	7815	-3595
CLDN18	6	-1	2224	2573	9	-4	1948	511
TLR8	6	-3	2224	393	5	4	2824	-3293
PLAC8	6	0	2224	4700	0	-3	10673	6243
ZBTB7A	6	-4	2224	-175	31	6	584	-189
CHST15	6	0	2224	4700	0	-1	10518	3115
WNT16	6	6	2224	15389	2	-1	4624	860
DDX41	6	-12	2224	-1838	10	6	1758	-1955
SNX9	6	-2	2224	1268	7	3	2423	-1288
DCDC2	6	0	2224	4700	9	6	1813	-2010
TRIAP1	6	0	2224	4700	0	0
GTSE1	6	1	2224	7672	0	-1	10615	3168
CXXC5	6	0	2224	4700	2	1	5552	-1903
RAB14	6	-6	2224	-922	1	1	7569	-3314
UFM1	6	-4	2224	-175	4	0	3623	-19
CYRIB	6	-1	2224	2573	0	0
LSR	6	-5	2224	-604	0	-1	10822	3248
KLF13	6	0	2224	4700	2	2	5589	-5198
LUC7L2	6	-7	2224	-1157	0	0	10748	-53
GPRC5B	6	6	2224	15389	3	-1	4446	789
WWOX	6	-3	2224	393	4	-1	3635	500
RTEL1	6	1	2224	7672	0	0
CDK12	6	-5	2224	-604	4	4	3630	-7284
INPP5K	6	6	2224	15389	2	1	5629	-1974
SIX4	6	1	2224	7672	1	-1	7586	1936
GALNT7	6	-1	2224	2573	0	0
BCL11A	6	-5	2224	-604	23	3	818	-141
LRP1B	6	-2	2224	1268	1	-4	7603	4470
FXYD5	6	0	2224	4700	1	1	7800	-3583
MYO3A	6	6	2224	15389	0	0	11347	-55
SLCO1C1	6	6	2224	15389	0	0
TAF7L	6	0	2224	4700	0	0	10810	-42
ZDHHC13	6	0	2224	4700	0	0
FAM193B	6	0	2224	4700	0	0
EPB41L4B	6	-2	2224	1268	0	0
LZTFL1	6	-1	2224	2573	0	-1	10743	3217
L1TD1	6	1	2224	7672	0	-3	10759	6311
XAF1	6	-2	2224	1268	3	2	4419	-3144
TRPM7	6	-7	2224	-1157	3	-3	3814	1357
ASPN	6	6	2224	15389	9	3	1944	-766
ESRP1	6	1	2224	7672	0	0
BCOR	6	-7	2224	-1157	5	0	3141	10
MKS1	6	1	2224	7672	2	1	5430	-1811
BPNT2	6	0	2224	4700	1	0	7227	-17
CDCA4	6	0	2224	4700	0	0
GABPB1-IT1	6	6	2224	15389	0	0
RNF31	6	-11	2224	-1759	2	-2	5426	1842
KIF26B	6	-2	2224	1268	0	0
SOBP	6	6	2224	15389	0	-1	10272	2984
SLC38A4	6	6	2224	15389	0	0
ATG2B	6	0	2224	4700	0	0
AGGF1	6	6	2224	15389	3	1	4338	-1160
MAGOHB	6	-4	2224	-175	0	0
ARHGAP17	6	0	2224	4700	0	0
TRIM68	6	6	2224	15389	1	0	7294	0
LARP1B	6	-3	2224	393	0	0
SBNO1	6	-3	2224	393	0	0
ATAD3A	6	-17	2224	-2073	0	0
DPPA4	6	2	2224	15249	0	0
TRIM62	6	6	2224	15389	0	0
SLC47A1	6	6	2224	15389	2	-1	5847	1278
ELP2	6	-2	2224	1268	0	0	11800	-44
TMEM100	6	6	2224	15389	0	0
CWF19L1	6	-3	2224	393	0	0
UBE2W	6	-2	2224	1268	0	0
C4orf19	6	6	2224	15389	0	0
LARP6	6	6	2224	15389	0	-1	11103	3393
LAPTM4B	6	-1	2224	2573	1	0	7676	-28
TMEM63B	6	6	2224	15389	0	0
ETNK1	6	1	2224	7672	0	0
NOP10	6	-2	2224	1268	0	0
SOX6	6	1	2224	7672	11	6	1619	-1519
ZCCHC8	6	-2	2224	1268	0	-2	11143	5441
OTUB1	6	-11	2224	-1759	3	2	4461	-3262
POMGNT1	6	-1	2224	2573	0	-1	8409	2364
G2E3	6	6	2224	15389	0	0	11124	-56
NHP2	6	-6	2224	-922	1	1	7707	-3496
DENND4C	6	-1	2224	2573	0	0
PPP4R3A	6	-2	2224	1268	0	0
TRMU	6	0	2224	4700	2	1	5513	-1859
CCDC88A	6	-5	2224	-604	0	-1	10468	3092
ZNF334	6	6	2224	15389	0	0	10456	-58
ASF1B	6	-7	2224	-1157	0	0	10707	-50
BTBD7	6	0	2224	4700	0	0
ENAH	6	-4	2224	-175	5	2	3126	-1315
CCAR1	6	-8	2224	-1373	1	0	7492	-6
SEPTIN11	6	-5	2224	-604	0	0	10705	-48
CDK5RAP2	6	1	2224	7672	2	1	5588	-1927
NGLY1	6	-1	2224	2573	7	4	2392	-2031
PRR11	6	-3	2224	393	1	1	7909	-3696
DEPDC1B	6	0	2224	4700	0	-1	11741	3695
DCP1A	6	-4	2224	-175	3	2	4506	-3420
KIZ	6	6	2224	15389	1	0	7889	-26
TMEM126B	6	6	2224	15389	0	-2	11504	5719
HDAC8	6	-1	2224	2573	3	2	4502	-3415
PBK	6	-8	2224	-1373	0	-1	11510	3589
MESP1	6	6	2224	15389	5	1	3166	-533
ACSS2	6	-3	2224	393	3	0	4494	-35
BAIAP2L1	6	-4	2224	-175	1	1	8045	-3867
KLHL7	6	-1	2224	2573	0	0	11875	-46
CTNNBL1	6	-2	2224	1268	0	0	11165	-51
GPCPD1	6	6	2224	15389	0	0
LTB4R2	6	6	2224	15389	3	-3	4472	1753
CYP26B1	6	6	2224	15389	4	2	3649	-2062
EIF5A2	6	0	2224	4700	3	1	4475	-1244
TWNK	6	-2	2224	1268	9	-3	1773	328
MUC13	6	1	2224	7672	0	0
JPH1	6	6	2224	15389	0	-1	11179	3424
IFNK	6	6	2224	15389	6	4	2724	-2959
NMUR2	6	6	2224	15389	0	0	10371	-52
LXN	6	6	2224	15389	0	0
SMYD2	6	-3	2224	393	0	0
PRDM10	6	6	2224	15389	0	0
KIF15	6	-3	2224	393	13	13	1410	-9077
CYSLTR2	6	2	2224	15249	13	0	1414	-16
PLAAT1	6	6	2224	15389	0	0
RNPEPL1	6	6	2224	15389	0	0
SMURF1	6	-5	2224	-604	9	0	1776	-54
MRS2	6	6	2224	15389	1	1	7519	-3280
AS3MT	6	-1	2224	2573	6	5	2714	-4831
NDRG2	6	0	2224	4700	0	-1	10791	3231
SLC12A5	6	0	2224	4700	14	-3	1335	221
ODF2L	6	6	2224	15389	0	0
AHRR	6	-1	2224	2573	0	0
KIDINS220	6	0	2224	4700	0	-4	10626	7005
CASKIN1	6	6	2224	15389	0	0
NUFIP2	6	-11	2224	-1759	0	-2	10821	5182
MIB1	6	-4	2224	-175	1	1	7571	-3323
DOCK6	6	0	2224	4700	1	0	7563	-19
MRTFA	6	-1	2224	2573	3	-3	4428	1725
USP36	6	-7	2224	-1157	2	0	5613	-25
UVSSA	6	0	2224	4700	0	-1	10921	3289
PLEKHA4	6	0	2224	4700	0	-1	10912	3284
KIAA1549	6	6	2224	15389	0	0
RNF213	6	-9	2224	-1541	4	1	3658	-863
GPAM	6	-1	2224	2573	7	4	2411	-2109
SLC7A14	6	6	2224	15389	0	-1	11305	3486
SUGP1	6	0	2224	4700	0	0
CXCL16	6	-2	2224	1268	17	2	1074	-116
TP53INP2	6	-1	2224	2573	0	0
ENOPH1	6	-1	2224	2573	0	0
PRUNE1	6	0	2224	4700	0	0
ARHGAP22	6	6	2224	15389	0	0
KMT2C	6	-1	2224	2573	7	0	2415	32
IL21	6	-3	2224	393	33	5	548	-143
SIGIRR	6	6	2224	15389	2	-3	5779	2623
ALOXE3	6	6	2224	15389	1	-11	7854	6313
GNB4	6	-2	2224	1268	1	0	7843	-25
BACH2	6	-1	2224	2573	13	8	1418	-1748
AGBL5	6	6	2224	15389	0	0
FKBP10	6	-1	2224	2573	2	2	5905	-6157
THADA	6	-2	2224	1268	4	1	3693	-869
UBE2O	6	-8	2224	-1373	1	-1	7991	2156
BLOC1S5	6	0	2224	4700	3	3	4519	-7214
XPNPEP3	6	-1	2224	2573	1	-2	7979	3420
KIF13A	6	0	2224	4700	0	0	11376	-58
PRDM15	6	-2	2224	1268	0	-1	11381	3521
TSPYL2	6	-1	2224	2573	2	2	5765	-5681
CDH23	6	0	2224	4700	4	2	3665	-2101
CLSTN2	6	6	2224	15389	0	0
CRLF2	6	6	2224	15389	5	0	3160	10
MOAP1	6	6	2224	15389	0	0	11378	-58
RRAGC	6	0	2224	4700	1	-1	7821	2062
KIF9	6	6	2224	15389	0	0
NCAPG	6	-8	2224	-1373	2	0	5768	1
P3H1	6	-4	2224	-175	0	0
SEMA4A	6	6	2224	15389	1	0	7845	-24
COP1	6	-2	2224	1268	1	0	8106	-72
CLEC7A	6	6	2224	15389	6	-8	2750	1404
TMPRSS3	6	-2	2224	1268	2	-4	5883	3149
SMYD3	6	-5	2224	-604	4	-2	3704	971
TNS3	6	-5	2224	-604	0	0
FNDC3B	6	-5	2224	-604	0	0
MICAL1	6	0	2224	4700	4	4	3566	-6685
MARCHF7	6	6	2224	15389	1	-2	7168	2839
CDCP1	6	6	2224	15389	13	6	1402	-941
PCDH20	6	6	2224	15389	1	1	7177	-2939
MARCKSL1	6	-6	2224	-922	1	0	7333	0
UPF3A	6	-1	2224	2573	0	0	10356	-51
PCDH15	6	1	2224	7672	1	-1	7327	1818
SPATS2	6	-4	2224	-175	0	0
ZBTB10	6	-3	2224	393	0	0
TRAK2	6	0	2224	4700	1	0	7369	2
CRELD1	6	6	2224	15389	2	2	5502	-4966
AHNAK	6	-14	2224	-1968	3	-4	4351	1995
CHAC1	6	0	2224	4700	0	0
DERL1	6	-4	2224	-175	8	-6	2149	811
CCDC28B	6	6	2224	15389	0	0	10406	-50
MBOAT7	6	-3	2224	393	2	-4	5537	2846
IRX3	6	0	2224	4700	5	-5	3171	1349
GCC1	6	0	2224	4700	3	3	4440	-6530
CDC73	6	-6	2224	-922	2	-2	5645	1995
RIC3	6	6	2224	15389	2	2	5747	-5614
ACSS3	6	0	2224	4700	0	0	11307	-51
MAP7D3	6	-2	2224	1268	0	0
RHBDF2	6	-4	2224	-175	3	0	4486	-33
TUT7	6	-3	2224	393	1	-3	7780	4097
SUV39H2	6	-1	2224	2573	2	1	5626	-1973
THAP9	6	-1	2224	2573	0	0
KCTD17	6	-2	2224	1268	0	0
TEFM	6	1	2224	7672	0	0
BBS10	6	0	2224	4700	2	2	5638	-5301
SNIP1	6	-2	2224	1268	0	-1	11007	3332
ZNF750	6	-1	2224	2573	0	0
MYH14	6	-6	2224	-922	2	0	5670	-7
ZNF408	6	6	2224	15389	0	0	11018	-45
HPS6	6	1	2224	7672	1	1	7611	-3369
TTC21B	6	-1	2224	2573	1	0	7607	-27
PTCD2	6	1	2224	7672	0	0
SLTM	6	-5	2224	-604	0	0
